FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,tileA_cc,Space Remaining,tileB_cc,Weight Matrix Tile Size,tileA,Reduction Dim,Row Dim,Space Needed in L1,tileC_cc,tileC,m Dim,tileB,SSR Config Count,m_tiles,n_tiles,k_tiles,Regular Loads,Total CL Tiles,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,oldRegPerStream,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Reused / Total SSR Loads,Core : A SSR Reuse Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
16x16x16w16-16-16,16,16,16,16,16,16,16-16-16,000,256,102400,2048,4096,2048,16,16,12288,256,2048,16,2048,8,1,1,1,0,1,2,2,16,8,2,0.125,3,2,16,8,3,512,256,256,8192.0,32.0,3840,256.0,4096.0,2048,0.125,256,2048,256,2560,1.0,72.0,1.0,8.0,1.0,1.0,512.0,3584.0,512.0,4096.0,4096.0,3.5,0.017857142857142856,8192.0,480.0,32.0,256.0,32.0,320.0,9.0,512.0,256.0,0.125,256.0,0.125,1.0
16x16x16w15-16-16,16,16,16,15,16,16,15-16-16,M00,128,102912,2048,4096,1920,16,16,11776,128,1920,15,2048,9,2,1,1,0,2,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,768,256,256,8192.0,32.0,3840,256.0,4096.0,2304,0.125,256,2304,256,2816,1.0,97.0,1.0,9.0,0.9453125,1.0,512.0,3584.0,512.0,4096.0,4096.0,3.9375,0.024553571428571425,8192.0,426.6666666666667,28.444444444444443,256.0,28.444444444444443,312.8888888888889,10.777777777777779,384.0,128.0,0.1111111111111111,128.0,0.1111111111111111,1.0
16x16x16w14-16-16,16,16,16,14,16,16,14-16-16,M00,128,103424,2048,4096,1792,16,16,11264,128,1792,14,2048,10,2,1,1,0,2,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,768,256,256,8192.0,32.0,3840,256.0,4096.0,2560,0.125,256,2560,256,3072,1.0,122.0,1.0,10.0,0.90625,1.0,512.0,3584.0,512.0,4096.0,4096.0,4.375,0.031249999999999997,8192.0,384.0,25.6,256.0,25.6,307.2,12.2,384.0,128.0,0.1,128.0,0.1,1.0
16x16x16w13-16-16,16,16,16,13,16,16,13-16-16,M00,128,103936,2048,4096,1664,16,16,10752,128,1664,13,2048,11,2,1,1,0,2,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,768,256,256,8192.0,32.0,3840,256.0,4096.0,2816,0.125,256,2816,256,3328,1.0,147.0,1.0,11.0,0.8828125,1.0,512.0,3584.0,512.0,4096.0,4096.0,4.8125,0.03794642857142857,8192.0,349.09090909090907,23.272727272727273,256.0,23.272727272727273,302.54545454545456,13.363636363636363,384.0,128.0,0.09090909090909091,128.0,0.09090909090909091,1.0
16x16x16w12-16-16,16,16,16,12,16,16,12-16-16,M00,128,104448,2048,4096,1536,16,16,10240,128,1536,12,2048,12,2,1,1,0,2,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,768,256,256,8192.0,32.0,3840,256.0,4096.0,3072,0.125,256,3072,256,3584,1.0,172.0,1.0,12.0,0.875,1.0,512.0,3584.0,512.0,4096.0,4096.0,5.25,0.04464285714285714,8192.0,320.0,21.333333333333332,256.0,21.333333333333332,298.6666666666667,14.333333333333334,384.0,128.0,0.08333333333333333,128.0,0.08333333333333333,1.0
16x16x16w11-16-16,16,16,16,11,16,16,11-16-16,M00,128,104960,2048,4096,1408,16,16,9728,128,1408,11,2048,13,2,1,1,0,2,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,768,256,256,8192.0,32.0,3840,256.0,4096.0,3328,0.125,256,3328,256,3840,1.0,197.0,1.0,13.0,0.8828125,1.0,512.0,3584.0,512.0,4096.0,4096.0,5.6875,0.05133928571428571,8192.0,295.38461538461536,19.692307692307693,256.0,19.692307692307693,295.38461538461536,15.153846153846153,384.0,128.0,0.07692307692307693,128.0,0.07692307692307693,1.0
16x16x16w10-16-16,16,16,16,10,16,16,10-16-16,M00,128,105472,2048,4096,1280,16,16,9216,128,1280,10,2048,14,2,1,1,0,2,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,768,256,256,8192.0,32.0,3840,256.0,4096.0,3584,0.125,256,3584,256,4096,1.0,222.0,1.0,14.0,0.90625,1.0,512.0,3584.0,512.0,4096.0,4096.0,6.125,0.05803571428571429,8192.0,274.2857142857143,18.285714285714285,256.0,18.285714285714285,292.57142857142856,15.857142857142858,384.0,128.0,0.07142857142857142,128.0,0.07142857142857142,1.0
16x16x16w9-16-16,16,16,16,9,16,16,9-16-16,M00,128,105984,2048,4096,1152,16,16,8704,128,1152,9,2048,15,2,1,1,0,2,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,768,256,256,8192.0,32.0,3840,256.0,4096.0,3840,0.125,256,3840,256,4352,1.0,247.0,1.0,15.0,0.9453125,1.0,512.0,3584.0,512.0,4096.0,4096.0,6.5625,0.06473214285714285,8192.0,256.0,17.066666666666666,256.0,17.066666666666666,290.1333333333333,16.466666666666665,384.0,128.0,0.06666666666666667,128.0,0.06666666666666667,1.0
16x16x16w16-16-10,16,16,16,16,16,10,16-16-10,00K,160,105472,1280,2560,1280,10,16,9216,256,2048,16,1280,16,1,1,2,0,2,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,512,512,256,8192.0,64.0,3584,512.0,4096.0,2048,0.5333333333333333,256,2048,512,2816,2.0,72.0,4.266666666666667,34.13333333333333,4.266666666666667,4.266666666666667,512.0,3584.0,512.0,4096.0,4096.0,7.0,0.07619047619047618,8192.0,224.0,16.0,128.0,32.0,176.0,4.5,256.0,256.0,0.125,128.0,0.26666666666666666,2.1333333333333333
16x16x16w8-16-16,16,16,16,8,16,16,8-16-16,000,128,106496,2048,4096,1024,16,16,8192,128,1024,8,2048,16,2,1,1,0,2,1,2,16,8,1,0.0625,2,2,16,8,2,768,256,256,8192.0,32.0,3840,256.0,4096.0,4096,0.125,256,4096,256,4608,1.0,272.0,1.0,16.0,1.0,1.0,512.0,3584.0,512.0,4096.0,4096.0,7.0,0.07142857142857142,8192.0,240.0,16.0,256.0,16.0,288.0,17.0,384.0,128.0,0.0625,128.0,0.0625,1.0
16x16x16w16-16-12,16,16,16,16,16,12,16-16-12,00K,192,104448,1536,3072,1536,12,16,10240,256,2048,16,1536,16,1,1,2,0,2,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,512,512,256,8192.0,64.0,3584,512.0,4096.0,2048,0.6666666666666666,256,2048,512,2816,2.0,72.0,5.333333333333333,42.666666666666664,5.333333333333333,5.333333333333333,512.0,3584.0,512.0,4096.0,4096.0,7.0,0.09523809523809523,8192.0,224.0,16.0,128.0,32.0,176.0,4.5,256.0,256.0,0.125,128.0,0.3333333333333333,2.6666666666666665
16x16x16w16-16-9,16,16,16,16,16,9,16-16-9,00K,144,105984,1152,2304,1152,9,16,8704,256,2048,16,1152,16,1,1,2,0,2,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,512,512,256,8192.0,64.0,3584,512.0,4096.0,2048,0.5079365079365079,256,2048,512,2816,2.0,72.0,4.063492063492063,32.507936507936506,4.063492063492063,4.063492063492063,512.0,3584.0,512.0,4096.0,4096.0,7.0,0.07256235827664398,8192.0,224.0,16.0,128.0,32.0,176.0,4.5,256.0,256.0,0.125,128.0,0.25396825396825395,2.0317460317460316
16x16x16w16-16-13,16,16,16,16,16,13,16-16-13,00K,208,103936,1664,3328,1664,13,16,10752,256,2048,16,1664,16,1,1,2,0,2,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,512,512,256,8192.0,64.0,3584,512.0,4096.0,2048,0.8205128205128205,256,2048,512,2816,2.0,72.0,6.564102564102564,52.51282051282051,6.564102564102564,6.564102564102564,512.0,3584.0,512.0,4096.0,4096.0,7.0,0.11721611721611722,8192.0,224.0,16.0,128.0,32.0,176.0,4.5,256.0,256.0,0.125,128.0,0.41025641025641024,3.282051282051282
16x16x16w16-16-8,16,16,16,16,16,8,16-16-8,000,128,106496,1024,2048,1024,8,16,8192,256,2048,16,1024,16,1,1,2,0,2,2,2,8,8,2,0.25,3,2,8,8,3,512,512,256,8192.0,64.0,3584,512.0,4096.0,2048,0.5,256,2048,512,2816,2.0,72.0,4.0,32.0,4.0,4.0,512.0,3584.0,512.0,4096.0,4096.0,7.0,0.07142857142857142,8192.0,224.0,16.0,128.0,32.0,176.0,4.5,256.0,256.0,0.125,128.0,0.25,2.0
16x16x16w16-8-16,16,16,16,16,8,16,16-8-16,000,256,106496,1024,2048,2048,16,8,8192,128,1024,16,1024,16,1,2,1,0,2,2,1,16,8,2,0.0625,3,1,16,8,3,768,256,512,8192.0,32.0,3840,256.0,4096.0,4096,0.125,512,2048,256,2816,4.0,160.0,2.0,8.0,1.0,1.0,512.0,3584.0,512.0,4096.0,4096.0,7.0,0.07142857142857142,8192.0,240.0,32.0,128.0,16.0,176.0,10.0,384.0,128.0,0.25,256.0,0.125,0.5
16x16x16w16-16-11,16,16,16,16,16,11,16-16-11,00K,176,104960,1408,2816,1408,11,16,9728,256,2048,16,1408,16,1,1,2,0,2,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,512,512,256,8192.0,64.0,3584,512.0,4096.0,2048,0.5818181818181818,256,2048,512,2816,2.0,72.0,4.654545454545454,37.236363636363635,4.654545454545454,4.654545454545454,512.0,3584.0,512.0,4096.0,4096.0,7.0,0.08311688311688312,8192.0,224.0,16.0,128.0,32.0,176.0,4.5,256.0,256.0,0.125,128.0,0.2909090909090909,2.327272727272727
16x16x16w15-16-12,16,16,16,15,16,12,15-16-12,M0K,96,104896,1536,3072,1440,12,16,9792,128,1920,15,1536,18,2,1,2,0,4,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,768,512,256,8192.0,64.0,3584,512.0,4096.0,2304,0.6666666666666666,256,2304,512,3072,2.0,97.0,5.333333333333333,48.0,5.041666666666667,5.333333333333333,512.0,3584.0,512.0,4096.0,4096.0,7.875,0.13095238095238093,8192.0,199.11111111111111,14.222222222222221,128.0,28.444444444444443,170.66666666666666,5.388888888888889,192.0,128.0,0.1111111111111111,64.0,0.2962962962962963,2.6666666666666665
16x16x16w15-8-16,16,16,16,15,8,16,15-8-16,M00,128,106880,1024,2048,1920,16,8,7808,64,960,15,1024,18,2,2,1,0,4,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,1024,256,512,8192.0,32.0,3840,256.0,4096.0,4608,0.125,512,2304,256,3072,4.0,212.0,2.0,9.0,0.9453125,1.0,512.0,3584.0,512.0,4096.0,4096.0,7.875,0.0982142857142857,8192.0,213.33333333333334,28.444444444444443,128.0,14.222222222222221,170.66666666666666,11.777777777777779,256.0,64.0,0.2222222222222222,128.0,0.1111111111111111,0.5
16x16x16w15-16-13,16,16,16,15,16,13,15-16-13,M0K,104,104400,1664,3328,1560,13,16,10288,128,1920,15,1664,18,2,1,2,0,4,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,768,512,256,8192.0,64.0,3584,512.0,4096.0,2304,0.8205128205128204,256,2304,512,3072,2.0,97.0,6.564102564102563,59.07692307692308,6.205128205128205,6.564102564102563,512.0,3584.0,512.0,4096.0,4096.0,7.875,0.16117216117216118,8192.0,199.11111111111111,14.222222222222221,128.0,28.444444444444443,170.66666666666666,5.388888888888889,192.0,128.0,0.1111111111111111,64.0,0.36467236467236464,3.2820512820512824
