FakeNN JSON Name,M,N,K,m,n,k,JSON Name,tileC,Row Dim,Space Remaining,remainderTiles,tileA,remainderK,remainderN,Reduction Dim,remainderM,tileA_cc,tileB_cc,Weight Matrix Tile Size,m Dim,tileC_cc,tileB,Space Needed in L1
16x16x16w10-16-11,16,16,16,10,16,11,10-16-11,1280,16,107552,M0K,880,6,0,11,4,88,1408,2816,10,128,1408,7136
16x16x16w11-16-8,16,16,16,11,16,8,11-16-8,1408,16,108416,M00,704,0,0,8,6,64,1024,2048,11,128,1024,6272
16x16x16w12-16-13,16,16,16,12,16,13,12-16-13,1536,16,105792,M0K,1248,10,0,13,8,104,1664,3328,12,128,1664,8896
16x16x16w13-16-9,16,16,16,13,16,9,13-16-9,1664,16,107184,M0K,936,2,0,9,10,72,1152,2304,13,128,1152,7504
16x16x16w14-8-15,16,16,16,14,8,15,14-8-15,896,8,107616,M0K,1680,14,0,15,12,120,960,1920,14,64,960,7072
16x16x16w8-8-15,16,16,16,8,8,15,8-8-15,512,8,109824,00K,960,14,0,15,0,120,960,1920,8,64,960,4864
16x16x16w15-8-11,16,16,16,15,8,11,15-8-11,960,8,108720,M0K,1320,6,0,11,14,88,704,1408,15,64,704,5968
16x16x16w16-16-9,16,16,16,16,16,9,16-16-9,2048,16,105984,00K,1152,2,0,9,0,144,1152,2304,16,256,1152,8704
16x16x16w14-16-16,16,16,16,14,16,16,14-16-16,1792,16,103424,M00,1792,0,0,16,12,128,2048,4096,14,128,2048,11264
16x16x16w10-8-9,16,16,16,10,8,9,10-8-9,640,8,110816,M0K,720,2,0,9,4,72,576,1152,10,64,576,3872
16x16x16w9-8-15,16,16,16,9,8,15,9-8-15,576,8,109456,M0K,1080,14,0,15,2,120,960,1920,9,64,960,5232
16x16x16w12-8-11,16,16,16,12,8,11,12-8-11,768,8,109632,M0K,1056,6,0,11,8,88,704,1408,12,64,704,5056
16x16x16w9-16-16,16,16,16,9,16,16,9-16-16,1152,16,105984,M00,1152,0,0,16,2,128,2048,4096,9,128,2048,8704
16x16x16w11-8-9,16,16,16,11,8,9,11-8-9,704,8,110544,M0K,792,2,0,9,6,72,576,1152,11,64,576,4144
16x16x16w13-8-10,16,16,16,13,8,10,13-8-10,832,8,109664,M0K,1040,4,0,10,10,80,640,1280,13,64,640,5024
16x16x16w10-16-13,16,16,16,10,16,13,10-16-13,1280,16,106720,M0K,1040,10,0,13,4,104,1664,3328,10,128,1664,7968
16x16x16w12-16-15,16,16,16,12,16,15,12-16-15,1536,16,104896,M0K,1440,14,0,15,8,120,1920,3840,12,128,1920,9792
16x16x16w13-16-11,16,16,16,13,16,11,13-16-11,1664,16,106256,M0K,1144,6,0,11,10,88,1408,2816,13,128,1408,8432
16x16x16w14-16-9,16,16,16,14,16,9,14-16-9,1792,16,106784,M0K,1008,2,0,9,12,72,1152,2304,14,128,1152,7904
16x16x16w15-8-13,16,16,16,15,8,13,15-8-13,960,8,107984,M0K,1560,10,0,13,14,104,832,1664,15,64,832,6704
16x16x16w16-16-11,16,16,16,16,16,11,16-16-11,2048,16,104960,00K,1408,6,0,11,0,176,1408,2816,16,256,1408,9728
16x16x16w9-8-8,16,16,16,9,8,8,9-8-8,576,8,111360,M00,576,0,0,8,2,64,512,1024,9,64,512,3328
16x16x16w9-16-9,16,16,16,9,16,9,9-16-9,1152,16,108784,M0K,648,2,0,9,2,72,1152,2304,9,128,1152,5904
16x16x16w11-8-11,16,16,16,11,8,11,11-8-11,704,8,109936,M0K,968,6,0,11,6,88,704,1408,11,64,704,4752
16x16x16w12-16-8,16,16,16,12,16,8,12-16-8,1536,16,108032,M00,768,0,0,8,8,64,1024,2048,12,128,1024,6656
16x16x16w13-8-12,16,16,16,13,8,12,13-8-12,832,8,108992,M0K,1248,8,0,12,10,96,768,1536,13,64,768,5696
16x16x16w10-16-15,16,16,16,10,16,15,10-16-15,1280,16,105888,M0K,1200,14,0,15,4,120,1920,3840,10,128,1920,8800
16x16x16w14-8-10,16,16,16,14,8,10,14-8-10,896,8,109376,M0K,1120,4,0,10,12,80,640,1280,14,64,640,5312
16x16x16w8-8-10,16,16,16,8,8,10,8-8-10,512,8,111104,00K,640,4,0,10,0,80,640,1280,8,64,640,3584
16x16x16w8-16-15,16,16,16,8,16,15,8-16-15,1024,16,106880,00K,960,14,0,15,0,120,1920,3840,8,128,1920,7808
16x16x16w16-8-12,16,16,16,16,8,12,16-8-12,1024,8,108032,00K,1536,8,0,12,0,192,768,1536,16,128,768,6656
16x16x16w13-16-13,16,16,16,13,16,13,13-16-13,1664,16,105328,M0K,1352,10,0,13,10,104,1664,3328,13,128,1664,9360
16x16x16w14-16-11,16,16,16,14,16,11,14-16-11,1792,16,105824,M0K,1232,6,0,11,12,88,1408,2816,14,128,1408,8864
16x16x16w15-8-15,16,16,16,15,8,15,15-8-15,960,8,107248,M0K,1800,14,0,15,14,120,960,1920,15,64,960,7440
16x16x16w16-16-13,16,16,16,16,16,13,16-16-13,2048,16,103936,00K,1664,10,0,13,0,208,1664,3328,16,256,1664,10752
16x16x16w9-8-10,16,16,16,9,8,10,9-8-10,576,8,110816,M0K,720,4,0,10,2,80,640,1280,9,64,640,3872
16x16x16w9-16-11,16,16,16,9,16,11,9-16-11,1152,16,107984,M0K,792,6,0,11,2,88,1408,2816,9,128,1408,6704
16x16x16w10-8-16,16,16,16,10,8,16,10-8-16,640,8,108800,M00,1280,0,0,16,4,128,1024,2048,10,64,1024,5888
16x16x16w11-8-13,16,16,16,11,8,13,11-8-13,704,8,109328,M0K,1144,10,0,13,6,104,832,1664,11,64,832,5360
16x16x16w10-16-8,16,16,16,10,16,8,10-16-8,1280,16,108800,M00,640,0,0,8,4,64,1024,2048,10,128,1024,5888
16x16x16w12-16-10,16,16,16,12,16,10,12-16-10,1536,16,107136,M0K,960,4,0,10,8,80,1280,2560,12,128,1280,7552
16x16x16w13-8-14,16,16,16,13,8,14,13-8-14,832,8,108320,M0K,1456,12,0,14,10,112,896,1792,13,64,896,6368
