FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Reduction Dim,tileC,tileA_cc,tileC_cc,Space Remaining,tileB,tileB_cc,Weight Matrix Tile Size,tileA,Row Dim,m Dim,Space Needed in L1,SSR Config Count,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,Regular Loads,Total SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little K,m_tiles,n_tiles,k_tiles,L3 Loads,stage
128x128x512w32-32-32,128,128,512,32,32,32,32-32-32,32,8192,1024,1024,65536,8192,8192,16384,8192,32,32,49152,2048,4,4,32,8,4,5,4,32,8,5,262144.0,15728640.0,983040.0,6881280.0,983040,7864320.0,32,4.0,4.0,16.0,540672.0,2
128x128x512w16-64-16,128,128,512,16,64,16,16-64-16,16,8192,256,1024,77824,8192,8192,16384,2048,64,16,36864,4096,2,8,16,8,2,3,8,16,8,3,524288.0,14680064.0,917504.0,6422528.0,917504,7340032.0,16,8.0,2.0,32.0,671744.0,2
128x128x512w64-16-16,128,128,512,64,16,16,64-16-16,16,8192,1024,1024,77824,2048,2048,4096,8192,16,64,36864,4096,8,2,16,8,8,9,2,16,8,9,524288.0,14680064.0,917504.0,6422528.0,917504,7340032.0,16,2.0,8.0,32.0,671744.0,2
128x128x512w16-16-64,128,128,512,16,16,64,16-16-64,64,2048,1024,256,77824,8192,8192,16384,8192,16,16,36864,4096,2,2,64,8,2,3,2,64,8,3,131072.0,16252928.0,1015808.0,7110656.0,1015808,8126464.0,64,8.0,8.0,8.0,1064960.0,2
128x128x512w8-8-128,128,128,512,8,8,128,8-8-128,128,512,1024,64,80896,8192,8192,16384,8192,8,8,33792,8192,1,1,128,8,1,2,1,128,8,2,65536.0,16515072.0,1032192.0,7225344.0,1032192,8257536.0,128,16.0,16.0,4.0,2113536.0,3
128x128x512w128-8-8,128,128,512,128,8,8,128-8-8,8,8192,1024,1024,80896,512,512,1024,8192,8,128,33792,8192,16,1,8,8,16,17,1,8,8,17,1048576.0,12582912.0,786432.0,5505024.0,786432,6291456.0,8,1.0,16.0,64.0,1130496.0,0
128x128x512w8-128-8,128,128,512,8,128,8,8-128-8,8,8192,64,1024,80896,8192,8192,16384,512,128,8,33792,8192,1,16,8,8,1,2,16,8,8,2,1048576.0,12582912.0,786432.0,5505024.0,786432,6291456.0,8,16.0,1.0,64.0,1130496.0,0
128x128x512w16-32-32,128,128,512,16,32,32,16-32-32,32,4096,512,512,81920,8192,8192,16384,4096,32,16,32768,4096,2,4,32,8,2,3,4,32,8,3,262144.0,15728640.0,983040.0,6881280.0,983040,7864320.0,32,8.0,4.0,16.0,802816.0,2
128x128x512w32-32-16,128,128,512,32,32,16,32-32-16,16,8192,512,1024,81920,4096,4096,8192,4096,32,32,32768,4096,4,4,16,8,4,5,4,16,8,5,524288.0,14680064.0,917504.0,6422528.0,917504,7340032.0,16,4.0,4.0,32.0,540672.0,1
128x128x512w32-16-32,128,128,512,32,16,32,32-16-32,32,4096,1024,512,81920,4096,4096,8192,8192,16,32,32768,4096,4,2,32,8,4,5,2,32,8,5,262144.0,15728640.0,983040.0,6881280.0,983040,7864320.0,32,4.0,8.0,16.0,802816.0,2
