FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Row Dim,tileA_cc,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,tileC_cc,tileB,tileA,tileB_cc,m Dim,Reduction Dim,tileC,SSR Config Count,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,Regular Loads,Total SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little K,m_tiles,n_tiles,k_tiles,L3 Loads,stage
128x128x64w32-32-32,128,128,64,32,32,32,32-32-32,32,1024,49152,16384,65536,1024,8192,8192,8192,32,32,8192,256,4,4,32,8,4,5,4,32,8,5,32768.0,1966080.0,122880.0,860160.0,122880,983040.0,32,4.0,4.0,2.0,81920.0,2
128x128x64w64-16-16,128,128,64,64,16,16,64-16-16,16,1024,36864,4096,77824,1024,2048,8192,2048,64,16,8192,512,8,2,16,8,8,9,2,16,8,9,65536.0,1835008.0,114688.0,802816.0,114688,917504.0,16,2.0,8.0,4.0,98304.0,2
128x128x64w16-16-64,128,128,64,16,16,64,16-16-64,16,1024,36864,16384,77824,256,8192,8192,8192,16,64,2048,512,2,2,64,8,2,3,2,64,8,3,16384.0,2031616.0,126976.0,888832.0,126976,1015808.0,64,8.0,8.0,1.0,147456.0,3
128x128x64w16-64-16,128,128,64,16,64,16,16-64-16,64,256,36864,16384,77824,1024,8192,2048,8192,16,16,8192,512,2,8,16,8,2,3,8,16,8,3,65536.0,1835008.0,114688.0,802816.0,114688,917504.0,16,8.0,2.0,4.0,98304.0,2
128x128x64w128-8-8,128,128,64,128,8,8,128-8-8,8,1024,33792,1024,80896,1024,512,8192,512,128,8,8192,1024,16,1,8,8,16,17,1,8,8,17,131072.0,1572864.0,98304.0,688128.0,98304,786432.0,8,1.0,16.0,8.0,155648.0,0
128x128x64w8-128-8,128,128,64,8,128,8,8-128-8,128,64,33792,16384,80896,1024,8192,512,8192,8,8,8192,1024,1,16,8,8,1,2,16,8,8,2,131072.0,1572864.0,98304.0,688128.0,98304,786432.0,8,16.0,1.0,8.0,155648.0,0
128x128x64w32-32-16,128,128,64,32,32,16,32-32-16,32,512,32768,8192,81920,1024,4096,4096,4096,32,16,8192,512,4,4,16,8,4,5,4,16,8,5,65536.0,1835008.0,114688.0,802816.0,114688,917504.0,16,4.0,4.0,4.0,81920.0,2
128x128x64w16-32-32,128,128,64,16,32,32,16-32-32,32,512,32768,16384,81920,512,8192,4096,8192,16,32,4096,512,2,4,32,8,2,3,4,32,8,3,32768.0,1966080.0,122880.0,860160.0,122880,983040.0,32,8.0,4.0,2.0,114688.0,2
128x128x64w32-16-32,128,128,64,32,16,32,32-16-32,16,1024,32768,8192,81920,512,4096,8192,4096,32,32,4096,512,4,2,32,8,4,5,2,32,8,5,32768.0,1966080.0,122880.0,860160.0,122880,983040.0,32,4.0,8.0,2.0,114688.0,1
128x128x64w64-8-16,128,128,64,64,8,16,64-8-16,8,1024,26624,2048,88064,512,1024,8192,1024,64,16,4096,1024,8,1,16,8,8,9,1,16,8,9,65536.0,1835008.0,114688.0,802816.0,114688,917504.0,16,2.0,16.0,4.0,163840.0,0
