,FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Space Remaining,m Dim,tileC,tileB,Space Needed in L1,tileC_cc,tileA_cc,tileA,Weight Matrix Tile Size,Row Dim,tileB_cc,Reduction Dim,SSR Config Count,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,Regular Loads,Total SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little K,m_tiles,n_tiles,k_tiles,L3 Loads,stage,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
0,128x96x128w128-8-8,128,96,128,128,8,8,128-8-8,80896,128,8192,512,33792,1024,1024,8192,1024,8,512,8,1536,16,1,8,8,16,17,1,8,8,17,196608.0,2359296.0,147456.0,1032192.0,147456,1179648.0,8,1.0,12.0,16.0,221184.0,0,278440,278420,278425,278426,278439,278413,278417,278421,282714,278446
1,128x96x128w16-16-64,128,96,128,16,16,64,16-16-64,77824,16,2048,8192,36864,256,1024,8192,16384,16,8192,64,768,2,2,64,8,2,3,2,64,8,3,24576.0,3047424.0,190464.0,1333248.0,190464,1523712.0,64,8.0,6.0,2.0,208896.0,2,234073,234069,234083,234062,234080,234080,234097,234080,237846,234099
2,128x96x128w16-32-32,128,96,128,16,32,32,16-32-32,81920,16,4096,8192,32768,512,512,4096,16384,32,8192,32,768,2,4,32,8,2,3,4,32,8,3,49152.0,2949120.0,184320.0,1290240.0,184320,1474560.0,32,8.0,3.0,4.0,159744.0,2,256016,256041,256029,256024,255995,256032,256046,256023,259751,256047
3,128x96x128w16-48-16,128,96,128,16,48,16,16-48-16,86016,16,6144,6144,28672,768,256,2048,12288,48,6144,16,1024,2,6,16,8,2,3,6,16,8,3,98304.0,2752512.0,172032.0,1204224.0,172032,1376256.0,16,8.0,2.0,8.0,143360.0,1,247744,247750,247725,247763,247744,247750,247762,247762,251309,247770
4,128x96x128w32-16-32,128,96,128,32,16,32,32-16-32,81920,32,4096,4096,32768,512,1024,8192,8192,16,4096,32,768,4,2,32,8,4,5,2,32,8,5,49152.0,2949120.0,184320.0,1290240.0,184320,1474560.0,32,4.0,6.0,4.0,159744.0,2,237340,237332,237344,237355,237334,237358,237350,237338,241155,237366
5,128x96x128w32-24-32,128,96,128,32,24,32,32-24-32,73728,32,6144,6144,40960,768,1024,8192,12288,24,6144,32,512,4,3,32,8,4,5,3,32,8,5,49152.0,2949120.0,184320.0,1290240.0,184320,1474560.0,32,4.0,4.0,4.0,126976.0,2,224875,224873,224875,224877,224889,224874,224872,224864,228832,224897
6,128x96x128w32-32-16,128,96,128,32,32,16,32-32-16,81920,32,8192,4096,32768,1024,512,4096,8192,32,4096,16,768,4,4,16,8,4,5,4,16,8,5,98304.0,2752512.0,172032.0,1204224.0,172032,1376256.0,16,4.0,3.0,8.0,110592.0,2,263898,263905,263906,263844,263855,263906,263914,263895,267631,263916
7,128x96x128w32-32-32,128,96,128,32,32,32,32-32-32,65536,32,8192,8192,49152,1024,1024,8192,16384,32,8192,32,384,4,4,32,8,4,5,4,32,8,5,49152.0,2949120.0,184320.0,1290240.0,184320,1474560.0,32,4.0,3.0,4.0,110592.0,2,242299,242271,242251,242300,242282,242320,242334,242324,246360,242335
8,128x96x128w64-16-16,128,96,128,64,16,16,64-16-16,77824,64,8192,2048,36864,1024,1024,8192,4096,16,2048,16,768,8,2,16,8,8,9,2,16,8,9,98304.0,2752512.0,172032.0,1204224.0,172032,1376256.0,16,2.0,6.0,8.0,135168.0,2,241052,241035,241051,241044,241052,241038,241051,241045,244961,241059
9,128x96x128w8-8-128,128,96,128,8,8,128,8-8-128,80896,8,512,8192,33792,64,1024,8192,16384,8,8192,128,1536,1,1,128,8,1,2,1,128,8,2,12288.0,3096576.0,193536.0,1354752.0,193536,1548288.0,128,16.0,12.0,1.0,405504.0,3,236468,236463,236464,236480,236470,236456,236458,236459,239938,236481
