FakeNN JSON Name,M,N,K,m,n,k,JSON Name,tileA,Space Needed in L1,tileB_cc,tileA_cc,Space Remaining,Reduction Dim,Row Dim,Weight Matrix Tile Size,m Dim,tileC_cc,tileC,tileB,SSR Config Count,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,Regular Loads,Total SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little K,m_tiles,n_tiles,k_tiles,L3 Loads,stage
384x384x384w32-32-32,384,384,384,32,32,32,32-32-32,8192,49152,8192,1024,65536,32,32,16384,32,1024,8192,8192,13824,4,4,32,8,4,5,4,32,8,5,1769472.0,106168320.0,6635520.0,46448640.0,6635520,53084160.0,32,12.0,12.0,12.0,3686400.0,2
384x384x384w32-24-32,384,384,384,32,24,32,32-24-32,8192,40960,6144,1024,73728,32,24,12288,32,768,6144,6144,18432,4,3,32,8,4,5,3,32,8,5,1769472.0,106168320.0,6635520.0,46448640.0,6635520,53084160.0,32,12.0,16.0,12.0,4276224.0,2
384x384x384w32-32-24,384,384,384,32,32,24,32-32-24,6144,40960,6144,768,73728,24,32,12288,32,1024,8192,6144,18432,4,4,24,8,4,5,4,24,8,5,2359296.0,103809024.0,6488064.0,45416448.0,6488064,51904512.0,24,12.0,12.0,16.0,3686400.0,2
384x384x384w24-32-32,384,384,384,24,32,32,24-32-32,6144,40960,8192,768,73728,32,32,16384,24,768,6144,8192,18432,3,4,32,8,3,4,4,32,8,4,1769472.0,106168320.0,6635520.0,46448640.0,6635520,53084160.0,32,16.0,12.0,12.0,4276224.0,2
384x384x384w64-16-16,384,384,384,64,16,16,64-16-16,8192,36864,2048,1024,77824,16,16,4096,64,1024,8192,2048,27648,8,2,16,8,8,9,2,16,8,9,3538944.0,99090432.0,6193152.0,43352064.0,6193152,49545216.0,16,6.0,24.0,24.0,4571136.0,2
384x384x384w16-64-16,384,384,384,16,64,16,16-64-16,2048,36864,8192,256,77824,16,64,16384,16,1024,8192,8192,27648,2,8,16,8,2,3,8,16,8,3,3538944.0,99090432.0,6193152.0,43352064.0,6193152,49545216.0,16,24.0,6.0,24.0,4571136.0,2
384x384x384w16-16-64,384,384,384,16,16,64,16-16-64,8192,36864,8192,1024,77824,64,16,16384,16,256,2048,8192,27648,2,2,64,8,2,3,2,64,8,3,884736.0,109707264.0,6856704.0,47996928.0,6856704,54853632.0,64,24.0,24.0,6.0,7225344.0,2
384x384x384w24-24-32,384,384,384,24,24,32,24-24-32,6144,33792,6144,768,80896,32,24,12288,24,576,4608,6144,24576,3,3,32,8,3,4,3,32,8,4,1769472.0,106168320.0,6635520.0,46448640.0,6635520,53084160.0,32,16.0,16.0,12.0,4866048.0,2
384x384x384w8-128-8,384,384,384,8,128,8,8-128-8,512,33792,8192,64,80896,8,128,16384,8,1024,8192,8192,55296,1,16,8,8,1,2,16,8,8,2,7077888.0,84934656.0,5308416.0,37158912.0,5308416,42467328.0,8,48.0,3.0,48.0,7667712.0,2
384x384x384w128-8-8,384,384,384,128,8,8,128-8-8,8192,33792,512,1024,80896,8,8,1024,128,1024,8192,512,55296,16,1,8,8,16,17,1,8,8,17,7077888.0,84934656.0,5308416.0,37158912.0,5308416,42467328.0,8,3.0,48.0,48.0,7667712.0,0
